pack_slug,seed_key,month,units,amount,units_men,units_women,amount_men,amount_women,city,store_type,uf,created_at,updated_at,batch_sha
levis_bw,name:686ff904edaa5668c56fc56503e990c30f0dc6580261c6c778bf84c7a1bd62a5,2026-03-01,2594.000000,60596752.96,0.000000,0.000000,0.00,0.00,Cap Fed,Levi's Store,"",2026-08-17 18:27:57.999652+00,2026-08-17 18:27:57.999659+00,ddf6b7bf66d90c925b29b18a3ddd11086df9afadab6075d41a256e3a53c959f5
levis_bw,name:686ff904edaa5668c56fc56503e990c30f0dc6580261c6c778bf84c7a1bd62a5,2026-04-01,1951.000000,44919824.00,0.000000,0.000000,0.00,0.00,Cap Fed,Levi's Store,"",2026-08-17 18:27:58.00724+00,2026-08-17 18:27:58.007245+00,ddf6b7bf66d90c925b29b18a3ddd11086df9afadab6075d41a256e3a53c959f5
levis_bw,name:686ff904edaa5668c56fc56503e990c30f0dc6580261c6c778bf84c7a1bd62a5,2026-05-01,2581.000000,59424944.00,0.000000,0.000000,0.00,0.00,Cap Fed,Levi's Store,"",2026-08-17 18:27:58.009038+00,2026-08-17 18:27:58.009042+00,ddf6b7bf66d90c925b29b18a3ddd11086df9afadab6075d41a256e3a53c959f5
levis_bw,name:686ff904edaa5668c56fc56503e990c30f0dc6580261c6c778bf84c7a1bd62a5,2026-06-01,5675.000000,153967163.26,0.000000,0.000000,0.00,0.00,Cap Fed,Levi's Store,"",2026-08-17 18:27:58.010563+00,2026-08-17 18:27:58.010566+00,ddf6b7bf66d90c925b29b18a3ddd11086df9afadab6075d41a256e3a53c959f5
levis_bw,name:686ff904edaa5668c56fc56503e990c30f0dc6580261c6c778bf84c7a1bd62a5,2026-07-01,2650.000000,74808825.50,0.000000,0.000000,0.00,0.00,Cap Fed,Levi's Store,"",2026-08-17 18:27:58.012615+00,2026-08-17 18:27:58.012619+00,ddf6b7bf66d90c925b29b18a3ddd11086df9afadab6075d41a256e3a53c959f5
levis_bw,name:85468b4a7c14bd63b1ca4134eb2057d5b0d226ea53d6cd261ad36c3f1cd6197c,2026-04-01,10.000000,249366.40,0.000000,0.000000,0.00,0.00,Cap Fed,Multibrand,"",2026-08-17 18:27:58.014793+00,2026-08-17 18:27:58.014796+00,ddf6b7bf66d90c925b29b18a3ddd11086df9afadab6075d41a256e3a53c959f5
levis_bw,name:85468b4a7c14bd63b1ca4134eb2057d5b0d226ea53d6cd261ad36c3f1cd6197c,2026-06-01,20.000000,498732.80,0.000000,0.000000,0.00,0.00,Cap Fed,Multibrand,"",2026-08-17 18:27:58.016597+00,2026-08-17 18:27:58.0166+00,ddf6b7bf66d90c925b29b18a3ddd11086df9afadab6075d41a256e3a53c959f5
levis_bw,name:28716d6237c1326d06592e92aabb64f2c905e482a17d57f5c5c7bb1d0f915bde,2026-05-01,32.000000,847845.76,0.000000,0.000000,0.00,0.00,Cap Fed,Levi's Store (franchise),"",2026-08-17 18:27:58.018827+00,2026-08-17 18:27:58.018831+00,ddf6b7bf66d90c925b29b18a3ddd11086df9afadab6075d41a256e3a53c959f5
levis_bw,name:28716d6237c1326d06592e92aabb64f2c905e482a17d57f5c5c7bb1d0f915bde,2026-06-01,60.000000,1589710.80,0.000000,0.000000,0.00,0.00,Cap Fed,Levi's Store (franchise),"",2026-08-17 18:27:58.020795+00,2026-08-17 18:27:58.020799+00,ddf6b7bf66d90c925b29b18a3ddd11086df9afadab6075d41a256e3a53c959f5
levis_bw,name:28716d6237c1326d06592e92aabb64f2c905e482a17d57f5c5c7bb1d0f915bde,2026-07-01,53.000000,1472369.15,0.000000,0.000000,0.00,0.00,Cap Fed,Levi's Store (franchise),"",2026-08-17 18:27:58.022983+00,2026-08-17 18:27:58.022987+00,ddf6b7bf66d90c925b29b18a3ddd11086df9afadab6075d41a256e3a53c959f5
